time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-10-16,221.67,207.3,209.92,41953.74,9010482.12,214.77,multiply,BTC
2023-10-17,214.95,209.35,214.73,13810.71,2926182.93,211.51,direct,
2023-10-18,213.73,209.87,211.51,10161.68,2153543.04,210.29,direct,
2023-10-19,213.46,209.56,210.36,28254.62,5970433.41,211.31,multiply,BTC
2023-10-20,218.74,212.09,211.31,32109.89,6813200.94,212.18,multiply,BTC
2023-10-21,215.54,211.28,212.0,10881.09,2320489.36,214.05,direct,
2023-10-22,217.99,213.31,214.05,12836.01,2765508.36,217.72,direct,
2023-10-23,242.18,218.42,217.87,70920.96,16220350.14,228.71,multiply,BTC
2023-10-24,235.53,223.42,228.71,76728.44,17278042.03,225.18,multiply,BTC
2023-10-25,229.1,221.57,225.24,19612.09,4422533.67,222.15,direct,
2023-10-26,227.99,194.96,222.15,26501.2,5937669.1,222.97,direct,
2023-10-27,230.4,220.4,223.25,63626.9,14273635.19,224.33,multiply,BTC
2023-10-28,227.9,224.35,224.41,13525.5,3062332.66,225.62,direct,
2023-10-29,228.27,223.71,225.62,9839.81,2224748.43,227.07,direct,
2023-10-30,229.18,225.0,227.07,14661.9,3334670.63,228.18,direct,
2023-10-31,230.13,225.73,228.15,32997.77,7469033.18,226.35,multiply,BTC
2023-11-01,228.81,222.21,226.41,19328.7,4348428.51,227.92,direct,
2023-11-02,233.67,227.42,227.92,23916.74,5516058.99,231.45,direct,
2023-11-03,232.91,227.77,231.87,40312.35,9287127.48,230.38,multiply,BTC
2023-11-04,239.5,232.13,230.38,33756.4,8009962.54,237.29,multiply,BTC
2023-11-05,245.31,236.8,237.29,58973.72,14394597.38,244.08,multiply,BTC
2023-11-06,255.69,243.17,244.08,70511.83,17996908.52,255.23,multiply,BTC
2023-11-07,258.37,245.83,255.23,52471.2,12919316.11,246.22,multiply,BTC
2023-11-08,250.32,244.3,246.22,52479.35,12947923.47,246.72,multiply,BTC
2023-11-09,254.4,243.09,246.72,77397.89,19479523.24,251.68,multiply,BTC
2023-11-10,262.03,249.87,251.68,54650.35,13730813.29,251.25,multiply,BTC
2023-11-11,255.22,246.01,251.17,22054.29,5526828.89,251.45,direct,
2023-11-12,252.0,245.58,251.45,22646.65,5615230.26,247.25,direct,
2023-11-13,250.09,240.12,247.25,26604.78,6527111.78,241.32,direct,
2023-11-14,248.29,195.76,241.32,27559.77,6699682.53,242.25,direct,
2023-11-15,266.93,252.35,242.21,74145.14,18831057.14,253.98,multiply,BTC
2023-11-16,255.53,222.43,253.92,32195.17,8009778.2,242.52,direct,
2023-11-17,245.94,238.47,242.52,22370.89,5446719.59,244.68,direct,
2023-11-18,245.17,239.4,244.68,14487.24,3519351.82,244.92,direct,
2023-11-19,246.91,241.81,244.92,11528.53,2814118.57,246.35,direct,
2023-11-20,267.21,242.17,246.54,125326.27,31736345.24,253.23,multiply,BTC
2023-11-21,264.9,218.91,253.23,394048.89,88926306.24,225.67,multiply,BTC
2023-11-22,244.68,234.84,225.67,145949.48,34476412.45,236.22,multiply,BTC
2023-11-23,238.08,231.7,236.22,57937.84,13547521.66,233.83,multiply,BTC
2023-11-24,238.01,231.55,233.83,49341.67,11492319.97,232.91,multiply,BTC
2023-11-25,235.81,232.9,232.91,30624.73,7182206.97,234.52,multiply,BTC
2023-11-26,233.3,229.26,234.52,22825.96,5290288.73,231.77,multiply,BTC
2023-11-27,231.08,225.45,231.77,58519.65,13302342.03,227.31,multiply,BTC
2023-11-28,233.22,228.12,227.31,36639.58,8414951.67,229.67,multiply,BTC
2023-11-29,230.35,226.0,229.67,32896.36,7478094.23,227.32,multiply,BTC
2023-11-30,228.49,226.0,227.32,30452.34,6931639.47,227.62,multiply,BTC
2023-12-01,233.82,227.44,227.62,31787.48,7264156.15,228.52,multiply,BTC
2023-12-02,234.05,228.53,228.52,37830.54,8667717.31,229.12,multiply,BTC
2023-12-03,234.61,227.41,229.12,59535.95,13577246.31,228.05,multiply,BTC
2023-12-04,239.86,227.18,228.05,105287.5,24577610.64,233.43,multiply,BTC
2023-12-05,247.12,228.95,233.43,63015.88,14572240.75,231.25,multiply,BTC
2023-12-06,235.53,227.35,231.25,63066.05,14473116.45,229.49,multiply,BTC
2023-12-07,233.13,226.9,229.49,68348.98,15904825.93,232.7,multiply,BTC
2023-12-08,241.21,236.26,232.7,66389.23,15864294.81,238.96,multiply,BTC
2023-12-09,242.75,236.41,238.96,84484.47,20087506.95,237.77,multiply,BTC
2023-12-10,240.81,237.79,237.77,36734.89,8810752.3,239.85,multiply,BTC
2023-12-11,246.71,225.81,239.85,137116.73,33771866.96,246.3,multiply,BTC
2023-12-12,258.29,245.69,246.3,137290.48,34931707.42,254.44,multiply,BTC
2023-12-13,263.97,251.49,254.44,88216.59,22242569.88,252.14,multiply,BTC
2023-12-14,256.81,249.15,252.14,68552.61,17365825.47,253.32,multiply,BTC
2023-12-15,247.69,242.87,253.32,43469.68,10644975.01,244.88,multiply,BTC
2023-12-16,247.93,243.19,244.88,31803.67,7766719.74,244.21,multiply,BTC
