time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-08-09,1.018,0.9924,1.0,17933.09,17923.73,0.9995,invert_divide,BTC
2023-08-10,0.9997,0.9989,0.9994,257096932.51,256889211.17,0.999,direct,
2023-08-11,0.9992,0.9986,0.999,243617051.2,243343477.46,0.9991,direct,
2023-08-12,0.9996,0.9991,0.9991,69927834.66,69887605.69,0.9996,direct,
2023-08-13,0.9996,0.9993,0.9996,61170899.08,61136002.13,0.9994,direct,
2023-08-14,0.9995,0.9985,0.9994,284238115.29,283934454.98,0.9992,direct,
2023-08-15,0.9993,0.9986,0.9992,323738103.66,323360699.62,0.999,direct,
2023-08-16,0.9996,0.9987,0.999,386487679.93,386095420.45,0.9989,direct,
2023-08-17,1.08,0.9514,0.999,50603.71,50616.25,1.0,invert_divide,BTC
2023-08-18,1.0,0.9866,1.0,508644178.79,508416297.34,0.9998,direct,
2023-08-19,1.0,0.9995,0.9998,161014700.26,160981957.88,0.9999,direct,
2023-08-20,1.0,0.9998,0.9999,97967931.33,97966156.56,1.0,direct,
2023-08-21,1.0,0.9995,1.0,314427938.02,314362659.32,0.9999,direct,
2023-08-22,1.0,0.9989,0.9999,351243187.51,351153767.49,0.9995,direct,
2023-08-23,1.0,0.9994,0.9995,415094411.54,414932403.15,0.9999,direct,
2023-08-24,1.0,0.9994,0.9999,287072050.77,286977802.29,0.9996,direct,
2023-08-25,1.001,0.9994,0.9996,368197227.34,368062666.45,0.9996,direct,
2023-08-26,0.9997,0.9994,0.9996,132191813.69,132129353.18,0.9996,direct,
2023-08-27,0.9998,0.9995,0.9996,73990980.41,73960993.35,0.9996,direct,
2023-08-28,0.9997,0.9992,0.9996,301059393.5,300922475.22,0.9995,direct,
2023-08-29,1.016,0.9348,0.9995,39870.36,39879.91,1.0,invert_divide,BTC
2023-08-30,1.001,0.9998,1.0,305667568.52,305658120.58,1.0,direct,
2023-08-31,1.063,0.9901,1.0,27850.06,27847.45,0.9999,invert_divide,BTC
2023-09-01,1.013,0.9813,0.9999,24807.18,24800.56,0.9997,invert_divide,BTC
2023-09-02,1.004,0.9946,0.9997,7017.96,7017.74,1.0,invert_divide,BTC
2023-09-03,1.006,0.9936,1.0,6190.05,6190.03,1.0,invert_divide,BTC
2023-09-04,0.9999,0.9994,0.9999,212229816.66,212167420.33,0.9996,direct,
2023-09-05,0.9997,0.9989,0.9996,306733645.32,306564302.97,0.9996,direct,
2023-09-06,0.9999,0.9993,0.9996,301331383.91,301225350.88,0.9997,direct,
2023-09-07,1.006,0.975,0.9997,18952.45,18958.61,1.0,invert_divide,BTC
2023-09-08,1.021,0.99,1.0,18556.34,18553.53,0.9998,invert_divide,BTC
2023-09-09,0.9999,0.9997,0.9998,101596923.57,101580334.46,0.9998,direct,
2023-09-10,1.007,0.9902,0.9999,8434.22,8431.39,0.9997,invert_divide,BTC
2023-09-11,1.029,0.99,0.9997,24481.75,24474.91,0.9997,invert_divide,BTC
2023-09-12,1.027,0.9724,0.9997,36111.44,36111.47,1.0,invert_divide,BTC
2023-09-13,1.0,0.9998,1.0,311523719.91,311516862.19,1.0,direct,
2023-09-14,1.012,0.9854,1.0,24488.8,24497.52,1.0,invert_divide,BTC
2023-09-15,1.0,1.0,1.0,253127842.15,253151090.46,1.0,direct,
2023-09-16,1.008,0.9962,1.0,7062.9,7065.15,1.0,invert_divide,BTC
2023-09-17,1.004,0.9957,1.0,5698.34,5699.63,1.0,invert_divide,BTC
2023-09-18,1.025,0.9863,1.0,29536.95,29542.68,1.0,invert_divide,BTC
2023-09-19,1.01,0.9804,1.0,24703.82,24712.81,1.0,invert_divide,BTC
2023-09-20,1.01,0.9886,1.0,21439.58,21441.67,1.0,invert_divide,BTC
2023-09-21,1.022,0.9927,1.0,20948.1,20947.92,1.0,invert_divide,BTC
2023-09-22,1.006,0.9962,1.0,15354.82,15356.61,1.0,invert_divide,BTC
2023-09-23,1.002,0.998,1.0,5251.29,5253.1,1.0,invert_divide,BTC
2023-09-24,1.018,0.9961,1.0,9848.35,9853.24,1.0,invert_divide,BTC
2023-09-25,1.005,0.9883,1.0,19804.27,19799.75,0.9998,invert_divide,BTC
2023-09-26,1.0,0.9996,0.9998,215041045.58,214999203.61,0.9997,direct,
2023-09-27,1.017,0.9895,0.9997,24188.11,24176.54,0.9995,invert_divide,BTC
2023-09-28,1.011,0.9743,0.9995,30832.51,30838.19,1.0,invert_divide,BTC
2023-09-29,1.012,0.9913,1.0,21721.72,21722.62,1.0,invert_divide,BTC
2023-09-30,1.005,0.9972,1.0,7260.78,7261.17,1.0,invert_divide,BTC
2023-10-01,1.002,0.9631,1.0,16861.15,16862.1,1.0,invert_divide,BTC
2023-10-02,1.04,0.9933,1.0,42701.42,42718.35,1.0,invert_divide,BTC
2023-10-03,1.009,0.9907,1.0,22621.25,22623.08,1.0,invert_divide,BTC
2023-10-04,1.0,0.9998,1.0,255053425.3,255050464.5,1.0,direct,
2023-10-05,1.026,0.9983,1.0,25127.82,25131.17,1.0,invert_divide,BTC
2023-10-06,1.012,0.9732,1.0,25278.57,25292.42,1.001,invert_divide,BTC
2023-10-07,1.003,0.9967,1.001,7351.08,7355.61,1.001,invert_divide,BTC
2023-10-08,1.007,0.9927,1.001,8547.03,8551.93,1.001,invert_divide,BTC
2023-10-09,1.015,0.9889,1.001,21887.87,21895.49,1.0,invert_divide,BTC
2023-10-10,1.0,0.9982,1.0,295216144.53,295268980.38,1.0,direct,
2023-10-11,1.022,0.9872,1.0,30496.51,30490.62,0.9998,invert_divide,BTC
2023-10-12,1.0,0.9997,0.9999,281842132.02,281816321.76,0.9999,direct,
2023-10-13,1.009,0.993,0.9998,18507.04,18506.92,1.0,invert_divide,BTC
2023-10-14,1.0,0.9998,0.9999,81954188.89,81957959.06,1.0,direct,
2023-10-15,1.005,0.9874,1.0,10978.68,10987.9,1.001,invert_divide,BTC
2023-10-16,1.053,0.9519,1.001,66720.48,66758.5,1.001,invert_divide,BTC
2023-10-17,1.008,0.9894,1.001,26038.83,26050.8,1.0,invert_divide,BTC
2023-10-18,1.024,0.9942,1.0,23999.55,24005.8,1.0,invert_divide,BTC
2023-10-19,1.007,0.9798,1.0,25550.36,25567.52,1.001,invert_divide,BTC
